CountryName,FragilityIndex,m0_4,m5_9,m10_14,m15_19,m20_24,m25_29,m30_34,m35_39,m40_44,m45_49,m50_54,m55_59,m60_64,m65_69,m70_74,m75_79,m80_84,m85_89,m90_94,m95_99,m100_
Togo,87.8,574183,492803,426660,367393,324315,283069,244020,205958,166957,133511,105114,82305,62922,44392,27452,14621,5812,1467,186,11,0
Trinidad and Tobago,62.6,51989,50551,48583,49350,57647,69368,67509,55099,47877,47316,48783,39276,30390,20493,12603,7398,3998,1715,491,100,12
Tunisia,76.5,517988,453130,417276,467778,512181,510145,450806,423779,373804,356394,316049,258080,187153,136127,100366,70572,42777,16669,4237,629,48
Turkey,75.9,3334621,3253323,3386550,3479372,3373911,3336850,3205288,2949297,2704344,2501119,2001738,1574938,1178949,865116,619203,400569,197131,64354,13045,1674,144
Turkmenistan,76.7,334232,269014,253745,278006,293970,259262,204649,175121,161955,142957,132081,95663,61605,31536,25940,18033,8455,2624,299,9,0
Uganda,96.6,3306356,2895509,2496292,2102996,1672116,1242512,918554,739599,607162,455632,324513,237231,172816,100857,58461,34886,16267,4833,617,10,1
Ukraine,65.9,1299114,1140261,990255,1203824,1611067,1950652,1782189,1617654,1513568,1432940,1584054,1366650,1162194,663571,692819,517132,273021,115821,20057,2381,320
United Arab Emirates,47.3,268381,185423,219770,423814,819948,1247246,1281372,921436,530538,243298,82208,27078,9722,4959,3459,4451,1773,1262,492,92,7
United Kingdom,33.2,2065536,1927806,1820965,2004528,2171256,2188503,2163368,1990811,2232925,2316131,2153624,1860718,1743501,1684335,1205296,955630,650527,349746,123548,18933,1869
United States,33.5,10320089,10778210,10794294,11000241,11681593,11070235,10816954,10035440,10645818,10714894,11163089,10397707,8530952,6786433,4811508,3459921,2662065,1388857,505163,90192,8696
Uruguay,38.4,120722,123128,128227,135265,130024,118607,111490,117269,104307,101865,96194,84670,71489,60422,49389,37612,24361,11950,3985,879,137
Uzbekistan,86.9,1638409,1404886,1333227,1539523,1612893,1472621,1195111,1021082,873894,795910,701769,518319,343278,188991,153742,106901,56794,20180,2304,137,2
Venezuela,75.3,1499453,1491881,1462671,1411424,1354849,1242004,1129073,1015484,906981,817970,712871,583376,428922,318447,226769,148119,77958,25887,4616,300,1
Vietnam,73.1,3863088,3679328,3556326,3824753,4185416,3992780,3896100,3629447,3045643,2596469,2437586,2067198,1454217,814772,593186,450770,272748,108479,30143,4107,270
Yemen,107,2177436,1943636,1734814,1629842,1477094,1203156,917413,670669,508679,386906,291043,220756,172572,141239,94863,55442,25431,8236,1489,89,1
Zambia,86.6,1362343,1165409,968955,826874,714801,624864,517714,405779,293816,206916,145417,95731,61678,43373,28371,16958,8413,3236,842,134,12
Zimbabwe,105.2,1106849,923454,879591,699944,542100,514240,461956,335586,224367,151968,122100,120516,110187,72755,45396,26061,16260,7343,2019,407,47
